country_code,found_country,longitude,address,latitude,country_name,used,continent,alt_addr,timestamp,no_result
GB,True,-2.206981,"Of, Beverston, Gloucestershire, England",51.6436366,England,0,Europe,,,
GB,True,-0.5648163,", Arundel, Sussex, England",50.8545384,England,0,Europe,,,
GB,True,-2.1880662,"Of, Cubberley, Gloucestershire, England",51.7643786,England,0,Europe,,,
GB,True,-2.4920541,"Of, Newbury, Gloucestershire, England",51.5040063,England,0,Europe,,,
GB,True,-1.3249375,"Of , Newbury, Berkshire, England",51.3968471,England,0,Europe,,,
GB,True,-1.9032487,", Ludgarshall, Wiltshire, England",51.324162,England,0,Europe,,,
GB,True,-1.5111773,"Of, Harewood, Yorkshire, England",53.9010438,England,0,Europe,,,
GB,True,-1.3293873,"Of, Micklefield, Yorkshire, England",53.7943276,England,0,Europe,,,
GB,True,-2.7540658,", Shrewsbury, Shropshire, England",52.707755,England,0,Europe,,,
GB,True,-2.7686972,", Usk, Monmouthshire, England",51.4818832,England,0,Europe,,,
GB,True,-1.7076505,"Of, Alnwick, Northumberland, England",55.4133985,England,0,Europe,,,
GB,True,-1.8190963,"Of Castle Raby, Raby With Keverstone, Durham, England",54.5937943,England,0,Europe,,,
GB,True,-1.8017245,"Castle Raby, Raby With Keverstone, Durham, England",54.5910607,England,0,Europe,,,
US,True,-105.9552006,(61-1425),36.0032435,United States,0,North America,,,
FR,True,0.8905783,"Chateau De Beaufort, Meuse-et-Loire, France",47.4230544,France,0,Europe,,,
GB,True,-0.8622549,", Howden, Yorkshire, England",53.7473189,England,0,Europe,,,
GB,True,-0.5404819,"Lincoln Catheral, Lincoln, Lincolnshire, England",53.2293545,England,0,Europe,,,
GB,True,-1.4967286,", Wakefield, Yorkshire, England",53.6829541,England,0,Europe,,,
GB,True,-1.4968547,"Of, , Westmorland, England",53.6835789,England,0,Europe,,,
IT,True,9.6912326,Sp,44.238366,Italy,0,Europe,,,
GB,True,0.4646698,", Pleshy, Essex, England",51.7704679,England,0,Europe,,,
US,True,-71.5377934,(31 Dec 1469),42.1253838,United States,0,North America,,,
GB,True,-1.8017245,", Raby, Durham, England",54.5910607,England,0,Europe,,,
GB,True,-0.5652554,", Berkhamsted, Hertfordshire, England",51.7607271,England,0,Europe,,,
GB,True,-1.2649062,", Fotheringhay, Northhamptonshire, England",52.5310214,England,0,Europe,,,
GB,True,-1.8068071,"Of Raby With Keverstone, Staindrop, Durham, England",54.5800156,England,0,Europe,,,
GB,True,-2.2726175,"Okeford, Fitzpaine, Dorset, England",50.9026432,England,0,Europe,,,
