found_country,country_name,used,longitude,continent,timestamp,country_code,latitude,address,alt_addr,no_result
True,Wales,0,-3.3709393,Europe,,GB,52.2532703,"of Powys, Wales",,
True,Wales,0,-4.3115907,Europe,,GB,51.8591257,"Fferws, Carmarthen, Carmarthenshire, Wales",,
True,Wales,0,-4.2769751,Europe,,GB,53.1394364,"Caernarvon, Gwynedd, Wales",,
True,Wales,0,-4.3319194,Europe,,GB,53.2782258,"Aberffraw Castle, Anglesey, Wales",,
True,Wales,0,-3.8436844,Europe,,GB,53.2905864,"Bangor Cathedral, Bangor, Caernarvonshire, Wales",,
True,Wales,0,-3.8430032,Europe,,GB,53.2907066,"Bangor, Caernarfonshire, Wales",,
True,England,0,0.2750712,Europe,,GB,51.1955494,"Tonbridge, Kent, England",,
True,United Kingdom,0,-3.3553352,Europe,,GB,52.32715,"Powys, United Kingdom",,
True,Wales,0,-3.73893,Europe,,GB,52.2928116,"Llawr Grach, Wales",,
True,England,0,-1.3131692,Europe,,GB,51.0612766,"Winchester, Hampshire, England",,
True,Wales,0,-3.4649973,Europe,,GB,52.6152731,"Meifod, Montgomeryshire, Wales",,
True,Wales,0,-3.8436844,Europe,,GB,53.2905864,"Of, , Caernarvonshire, Wales",,
True,Wales,0,-3.8436844,Europe,,GB,53.2905864,"of , Caernarvonshire, Wales",,
True,Wales,0,-3.8783629,Europe,,GB,51.9382324,"Gwynfe, Llangadog Fawr, Carmarthenshire, Wales",,
True,Wales,0,-3.9018434,Europe,,GB,51.9667794,"Llansadwrn, Carmarthenshire, Wales",,
True,Wales,0,-3.8198121,Europe,,GB,52.0450103,"Cilycwm, Carmarthenshire, Wales",,
True,Wales,0,-3.3553352,Europe,,GB,52.32715,"Mochnant Swydd Y Waun, Powys, Wales",,
True,Wales,0,-3.8749545,Europe,,GB,52.79398,"Llandanwg, Merionethshire, Wales",,
True,Wales,0,-3.4649973,Europe,,GB,52.6152731,"Cedigva, Montgomeryshire, Wales",,
True,Wales,0,-3.008586,Europe,,GB,52.2747215,"Melinydd, Radnorshire, Wales",,
True,Wales,0,-3.4649973,Europe,,GB,52.6152731,"Kerry, Montgomeryshire, Wales",,
True,Wales,0,-3.3988831,Europe,,GB,51.4470646,"Rhiwbina, Glamorgan, Wales",,
True,Wales,0,-3.4178289,Europe,,GB,53.1853776,"Llangenyw Monastery, Llangenyw, Denbigh, Wales",,
True,Ireland,0,-6.4758657,Europe,,IE,52.3272238,"Laugh Carmen, Wexford, Ireland",,
True,Ireland,0,-6.6065155,Europe,,IE,52.4601875,"County Wexford, Ireland",,
True,Ireland,0,-6.9918183,Europe,,IE,53.118465,"Athcliath, Diocese of Dublin, Leinster, Ireland",,
True,Ireland,0,-6.9918183,Europe,,IE,53.118465,"Donnchadh, Leinster, Ireland",,
True,Wales,0,-3.0766861,Europe,,GB,53.1636567,"Penley, Flintshire, Wales",,
True,Wales,0,-3.7977071,Europe,,GB,51.9954586,"Llandovery, Carmarthenshire, Wales",,
True,England,0,-0.5746614,Europe,,GB,51.5297668,"Wexham, Berkshire, England",,
True,Wales,0,-3.3671284,Europe,,GB,53.1097895,"Eyton, Denbighshire, Wales",,
True,Wales,0,-3.3671284,Europe,,GB,53.1097895,"Maen Gwynedd, Denbighshire, Wales",,
True,Wales,0,-3.1402189,Europe,,GB,53.2165096,"Pengwern, Flintshire, Wales",,
True,England,0,-2.6811596,Europe,,GB,53.1834604,"Utkinton, Cheshire, England",,
True,Wales,0,-3.2419248,Europe,,GB,51.5202413,"of, Margam, Glamorganshire, Wales",,
True,Wales,0,-3.3671284,Europe,,GB,53.1097895,"of, Mochnant Is Rhae, Denbighshire, Wales",,
True,Wales,0,-2.7150943,Europe,,GB,51.8120559,"Beaufort, Monmouthshire, Wales",,
True,Wales,0,-3.3854408,Europe,,GB,51.9489737,"Brecon, Breconshire, Wales",,
True,Wales,0,-3.73893,Europe,,GB,52.2928116,"St. John Priory, Brecheiniog, Wales",,
True,France,0,1.0295505,Europe,,FR,49.3693017,"Neufmarche, Seine-Maritime, Haute-Normandie, France",,
True,England,0,-2.2467498,Europe,,GB,51.8673377,"Gloucester Cathedral, Gloucestershire, England",,
True,Wales,0,-3.1673701,Europe,,GB,51.444046,"of, , Dyfed, Wales",,
True,,1,78.4869289,,,NONE,30.6889653,{Aleth},,
True,Wales,0,-4.3319194,Europe,,GB,53.2782258,"of Talybolion, Anglesey, Wales",,
